,DateTime,RealPower,EV_Power,Timestamp
26400,2019-04-01 00:00:00,50.676,0.0,1554076800000000000
26399,2019-04-01 00:15:00,51.186,0.0,1554077700000000000
26398,2019-04-01 00:30:00,51.873,0.0,1554078600000000000
26397,2019-04-01 00:45:00,50.98,0.0,1554079500000000000
26396,2019-04-01 01:00:00,51.912,0.0,1554080400000000000
26395,2019-04-01 01:15:00,50.158,0.0,1554081300000000000
26394,2019-04-01 01:30:00,51.894,0.0,1554082200000000000
26393,2019-04-01 01:45:00,50.239,0.0,1554083100000000000
26392,2019-04-01 02:00:00,51.755,0.0,1554084000000000000
26391,2019-04-01 02:15:00,50.632,0.0,1554084900000000000
26390,2019-04-01 02:30:00,51.464,0.0,1554085800000000000
26389,2019-04-01 02:45:00,50.07,0.0,1554086700000000000
26388,2019-04-01 03:00:00,51.42,0.0,1554087600000000000
26387,2019-04-01 03:15:00,51.407,0.0,1554088500000000000
26386,2019-04-01 03:30:00,50.09,0.0,1554089400000000000
26385,2019-04-01 03:45:00,51.55,0.0,1554090300000000000
26384,2019-04-01 04:00:00,50.638,0.0,1554091200000000000
26383,2019-04-01 04:15:00,50.616,0.0,1554092100000000000
26382,2019-04-01 04:30:00,50.018,0.0,1554093000000000000
26381,2019-04-01 04:45:00,51.361,0.0,1554093900000000000
26380,2019-04-01 05:00:00,51.348,0.0,1554094800000000000
26379,2019-04-01 05:15:00,51.535,0.0,1554095700000000000
26378,2019-04-01 05:30:00,53.297,0.0,1554096600000000000
26377,2019-04-01 05:45:00,53.841,0.0,1554097500000000000
26376,2019-04-01 06:00:00,52.637,4.82,1554098400000000000
26375,2019-04-01 06:15:00,54.243,6.02,1554099300000000000
26374,2019-04-01 06:30:00,53.461,6.02,1554100200000000000
26373,2019-04-01 06:45:00,52.581,6.02,1554101100000000000
26372,2019-04-01 07:00:00,56.37,6.02,1554102000000000000
26371,2019-04-01 07:15:00,52.653,7.88,1554102900000000000
26370,2019-04-01 07:30:00,54.584,9.12,1554103800000000000
26369,2019-04-01 07:45:00,52.606,9.12,1554104700000000000
26368,2019-04-01 08:00:00,51.368,6.09,1554105600000000000
26367,2019-04-01 08:15:00,52.753,3.3,1554106500000000000
26366,2019-04-01 08:30:00,53.212,9.31,1554107400000000000
26365,2019-04-01 08:45:00,54.414,14.12,1554108300000000000
26364,2019-04-01 09:00:00,54.088,20.21,1554109200000000000
26363,2019-04-01 09:15:00,51.019,24.63,1554110100000000000
26362,2019-04-01 09:30:00,51.756,24.36,1554111000000000000
26361,2019-04-01 09:45:00,52.438,26.93,1554111900000000000
26360,2019-04-01 10:00:00,51.761,27.57,1554112800000000000
26359,2019-04-01 10:15:00,50.654,27.09,1554113700000000000
26358,2019-04-01 10:30:00,53.854,25.41,1554114600000000000
26357,2019-04-01 10:45:00,48.663,28.51,1554115500000000000
26356,2019-04-01 11:00:00,55.622,24.36,1554116400000000000
26355,2019-04-01 11:15:00,49.802,26.35,1554117300000000000
26354,2019-04-01 11:30:00,54.316,20.27,1554118200000000000
26353,2019-04-01 11:45:00,53.788,31.87,1554119100000000000
26352,2019-04-01 12:00:00,59.513,22.27,1554120000000000000
26351,2019-04-01 12:15:00,55.748,22.27,1554120900000000000
26350,2019-04-01 12:30:00,57.041,18.27,1554121800000000000
26349,2019-04-01 12:45:00,54.574,26.27,1554122700000000000
26348,2019-04-01 13:00:00,56.688,28.56,1554123600000000000
26347,2019-04-01 13:15:00,62.183,20.22,1554124500000000000
26346,2019-04-01 13:30:00,68.476,8.95,1554125400000000000
26345,2019-04-01 13:45:00,71.844,5.35,1554126300000000000
26344,2019-04-01 14:00:00,60.158,12.95,1554127200000000000
26343,2019-04-01 14:15:00,56.46,23.63,1554128100000000000
26342,2019-04-01 14:30:00,60.295,31.83,1554129000000000000
26341,2019-04-01 14:45:00,57.704,31.05,1554129900000000000
26340,2019-04-01 15:00:00,53.719,29.54,1554130800000000000
26339,2019-04-01 15:15:00,51.049,25.54,1554131700000000000
26338,2019-04-01 15:30:00,54.49,17.0,1554132600000000000
26337,2019-04-01 15:45:00,47.651,15.22,1554133500000000000
26336,2019-04-01 16:00:00,55.758,8.42,1554134400000000000
26335,2019-04-01 16:15:00,54.477,8.68,1554135300000000000
26334,2019-04-01 16:30:00,56.711,6.01,1554136200000000000
26333,2019-04-01 16:45:00,54.166,9.73,1554137100000000000
26332,2019-04-01 17:00:00,56.895,12.22,1554138000000000000
26331,2019-04-01 17:15:00,52.199,12.22,1554138900000000000
26330,2019-04-01 17:30:00,52.835,12.22,1554139800000000000
26329,2019-04-01 17:45:00,50.98,6.08,1554140700000000000
26328,2019-04-01 18:00:00,52.79,5.32,1554141600000000000
26327,2019-04-01 18:15:00,54.341,0.0,1554142500000000000
26326,2019-04-01 18:30:00,45.613,6.5,1554143400000000000
26325,2019-04-01 18:45:00,48.11,6.19,1554144300000000000
26324,2019-04-01 19:00:00,45.314,8.76,1554145200000000000
26323,2019-04-01 19:15:00,56.125,0.0,1554146100000000000
26322,2019-04-01 19:30:00,54.716,1.53,1554147000000000000
26321,2019-04-01 19:45:00,55.664,3.27,1554147900000000000
26320,2019-04-01 20:00:00,55.346,6.58,1554148800000000000
26319,2019-04-01 20:15:00,53.718,10.9,1554149700000000000
26318,2019-04-01 20:30:00,53.961,10.9,1554150600000000000
26317,2019-04-01 20:45:00,54.005,10.9,1554151500000000000
26316,2019-04-01 21:00:00,55.861,10.43,1554152400000000000
26315,2019-04-01 21:15:00,57.864,7.57,1554153300000000000
26314,2019-04-01 21:30:00,57.251,7.57,1554154200000000000
26313,2019-04-01 21:45:00,52.969,5.22,1554155100000000000
26312,2019-04-01 22:00:00,53.037,1.44,1554156000000000000
26311,2019-04-01 22:15:00,52.195,0.0,1554156900000000000
26310,2019-04-01 22:30:00,51.772,0.0,1554157800000000000
26309,2019-04-01 22:45:00,51.129,0.0,1554158700000000000
26308,2019-04-01 23:00:00,51.427,0.0,1554159600000000000
26307,2019-04-01 23:15:00,52.096,0.0,1554160500000000000
26306,2019-04-01 23:30:00,51.075,0.0,1554161400000000000
26305,2019-04-01 23:45:00,51.559,0.0,1554162300000000000
26304,2019-04-02 00:00:00,51.488,0.0,1554163200000000000
26303,2019-04-02 00:15:00,51.794,0.0,1554164100000000000
26302,2019-04-02 00:30:00,51.397,0.0,1554165000000000000
26301,2019-04-02 00:45:00,50.765,0.0,1554165900000000000
26300,2019-04-02 01:00:00,51.206,0.0,1554166800000000000
26299,2019-04-02 01:15:00,51.219,0.0,1554167700000000000
26298,2019-04-02 01:30:00,50.654,0.0,1554168600000000000
26297,2019-04-02 01:45:00,50.491,0.0,1554169500000000000
26296,2019-04-02 02:00:00,50.577,0.0,1554170400000000000
26295,2019-04-02 02:15:00,50.654,0.0,1554171300000000000
26294,2019-04-02 02:30:00,50.275,0.0,1554172200000000000
26293,2019-04-02 02:45:00,50.022,0.0,1554173100000000000
26292,2019-04-02 03:00:00,49.987,0.0,1554174000000000000
26291,2019-04-02 03:15:00,50.443,0.0,1554174900000000000
26290,2019-04-02 03:30:00,50.345,0.0,1554175800000000000
26289,2019-04-02 03:45:00,50.239,0.0,1554176700000000000
26288,2019-04-02 04:00:00,50.716,0.0,1554177600000000000
26287,2019-04-02 04:15:00,50.673,0.0,1554178500000000000
26286,2019-04-02 04:30:00,50.407,0.0,1554179400000000000
26285,2019-04-02 04:45:00,50.605,0.0,1554180300000000000
26284,2019-04-02 05:00:00,50.733,0.0,1554181200000000000
26283,2019-04-02 05:15:00,52.101,0.0,1554182100000000000
26282,2019-04-02 05:30:00,52.23,0.0,1554183000000000000
26281,2019-04-02 05:45:00,53.73,0.0,1554183900000000000
26280,2019-04-02 06:00:00,53.611,0.0,1554184800000000000
26279,2019-04-02 06:15:00,53.646,0.0,1554185700000000000
26278,2019-04-02 06:30:00,53.21,0.0,1554186600000000000
26277,2019-04-02 06:45:00,53.806,0.0,1554187500000000000
26276,2019-04-02 07:00:00,53.582,0.0,1554188400000000000
26275,2019-04-02 07:15:00,52.526,0.0,1554189300000000000
26274,2019-04-02 07:30:00,49.983,5.2,1554190200000000000
26273,2019-04-02 07:45:00,50.513,8.11,1554191100000000000
26272,2019-04-02 08:00:00,53.22,11.01,1554192000000000000
26271,2019-04-02 08:15:00,55.027,16.35,1554192900000000000
26270,2019-04-02 08:30:00,53.067,17.54,1554193800000000000
26269,2019-04-02 08:45:00,52.949,22.48,1554194700000000000
26268,2019-04-02 09:00:00,51.79,23.2,1554195600000000000
26267,2019-04-02 09:15:00,50.477,22.37,1554196500000000000
26266,2019-04-02 09:30:00,48.413,29.37,1554197400000000000
26265,2019-04-02 09:45:00,50.593,25.27,1554198300000000000
26264,2019-04-02 10:00:00,51.712,28.57,1554199200000000000
26263,2019-04-02 10:15:00,49.816,33.57,1554200100000000000
26262,2019-04-02 10:30:00,54.568,22.7,1554201000000000000
26261,2019-04-02 10:45:00,59.61,15.93,1554201900000000000
26260,2019-04-02 11:00:00,56.574,10.3,1554202800000000000
26259,2019-04-02 11:15:00,52.774,9.7,1554203700000000000
26258,2019-04-02 11:30:00,56.809,9.7,1554204600000000000
26257,2019-04-02 11:45:00,51.718,5.7,1554205500000000000
26256,2019-04-02 12:00:00,53.128,3.18,1554206400000000000
26255,2019-04-02 12:15:00,54.716,12.23,1554207300000000000
26254,2019-04-02 12:30:00,48.839,13.79,1554208200000000000
26253,2019-04-02 12:45:00,53.15,18.32,1554209100000000000
26252,2019-04-02 13:00:00,56.602,10.62,1554210000000000000
26251,2019-04-02 13:15:00,67.519,21.57,1554210900000000000
26250,2019-04-02 13:30:00,65.695,24.67,1554211800000000000
26249,2019-04-02 13:45:00,62.946,11.98,1554212700000000000
26248,2019-04-02 14:00:00,50.613,11.69,1554213600000000000
26247,2019-04-02 14:15:00,48.255,10.14,1554214500000000000
26246,2019-04-02 14:30:00,46.57,8.14,1554215400000000000
26245,2019-04-02 14:45:00,45.438,8.54,1554216300000000000
26244,2019-04-02 15:00:00,59.025,7.12,1554217200000000000
26243,2019-04-02 15:15:00,57.188,7.27,1554218100000000000
26242,2019-04-02 15:30:00,59.485,10.95,1554219000000000000
26241,2019-04-02 15:45:00,59.79,16.3,1554219900000000000
26240,2019-04-02 16:00:00,59.683,14.12,1554220800000000000
26239,2019-04-02 16:15:00,59.392,8.99,1554221700000000000
26238,2019-04-02 16:30:00,57.961,8.59,1554222600000000000
26237,2019-04-02 16:45:00,58.789,6.0,1554223500000000000
26236,2019-04-02 17:00:00,61.564,5.53,1554224400000000000
26235,2019-04-02 17:15:00,54.152,5.53,1554225300000000000
26234,2019-04-02 17:30:00,54.354,5.53,1554226200000000000
26233,2019-04-02 17:45:00,55.792,5.53,1554227100000000000
26232,2019-04-02 18:00:00,53.667,5.53,1554228000000000000
26231,2019-04-02 18:15:00,55.323,5.53,1554228900000000000
26230,2019-04-02 18:30:00,53.986,5.06,1554229800000000000
26229,2019-04-02 18:45:00,53.523,4.3,1554230700000000000
26228,2019-04-02 19:00:00,56.197,5.07,1554231600000000000
26227,2019-04-02 19:15:00,56.316,12.39,1554232500000000000
26226,2019-04-02 19:30:00,57.141,15.58,1554233400000000000
26225,2019-04-02 19:45:00,56.48,15.58,1554234300000000000
26224,2019-04-02 20:00:00,56.714,14.87,1554235200000000000
26223,2019-04-02 20:15:00,56.187,12.17,1554236100000000000
26222,2019-04-02 20:30:00,55.675,19.89,1554237000000000000
26221,2019-04-02 20:45:00,57.27,14.77,1554237900000000000
26220,2019-04-02 21:00:00,55.669,9.07,1554238800000000000
26219,2019-04-02 21:15:00,56.501,9.07,1554239700000000000
26218,2019-04-02 21:30:00,55.379,9.07,1554240600000000000
26217,2019-04-02 21:45:00,53.727,4.67,1554241500000000000
26216,2019-04-02 22:00:00,53.533,0.4,1554242400000000000
26215,2019-04-02 22:15:00,53.248,0.0,1554243300000000000
26214,2019-04-02 22:30:00,52.776,0.0,1554244200000000000
26213,2019-04-02 22:45:00,52.309,0.0,1554245100000000000
26212,2019-04-02 23:00:00,52.465,0.0,1554246000000000000
26211,2019-04-02 23:15:00,51.948,0.0,1554246900000000000
26210,2019-04-02 23:30:00,51.993,0.0,1554247800000000000
26209,2019-04-02 23:45:00,51.682,0.0,1554248700000000000
26208,2019-04-03 00:00:00,51.878,0.0,1554249600000000000
26207,2019-04-03 00:15:00,51.993,0.0,1554250500000000000
26206,2019-04-03 00:30:00,51.127,0.0,1554251400000000000
26205,2019-04-03 00:45:00,51.385,0.0,1554252300000000000
26204,2019-04-03 01:00:00,51.036,0.0,1554253200000000000
26203,2019-04-03 01:15:00,50.923,0.0,1554254100000000000
26202,2019-04-03 01:30:00,51.22,0.0,1554255000000000000
26201,2019-04-03 01:45:00,50.907,0.0,1554255900000000000
26200,2019-04-03 02:00:00,50.78,0.0,1554256800000000000
26199,2019-04-03 02:15:00,50.782,0.0,1554257700000000000
26198,2019-04-03 02:30:00,50.599,0.0,1554258600000000000
26197,2019-04-03 02:45:00,50.994,0.0,1554259500000000000
26196,2019-04-03 03:00:00,50.612,0.0,1554260400000000000
26195,2019-04-03 03:15:00,50.817,0.0,1554261300000000000
26194,2019-04-03 03:30:00,50.914,0.0,1554262200000000000
26193,2019-04-03 03:45:00,50.861,0.0,1554263100000000000
