Date;Min Temp (C);Max Temp (C);Avg Temp (C)
1/07/1939;17.2;24.4;20.8
2/07/1939;18.3;23.3;20.8
3/07/1939;16.7;21.7;19.2
4/07/1939;17.2;21.7;19.45
5/07/1939;17.8;22.2;20
6/07/1939;18.3;22.2;20.25
7/07/1939;16.1;23.9;20
8/07/1939;17.2;23.9;20.55
9/07/1939;18.3;24.4;21.35
10/07/1939;18.3;24.4;21.35
11/07/1939;17.2;26.7;21.95
12/07/1939;17.8;26.1;21.95
13/07/1939;17.2;22.8;20
14/07/1939;16.7;23.3;20
15/07/1939;15.6;21.7;18.65
16/07/1939;15;21.1;18.05
17/07/1939;15.6;20.6;18.1
18/07/1939;16.7;22.2;19.45
19/07/1939;15.6;23.3;19.45
20/07/1939;18.9;23.3;21.1
21/07/1939;17.2;25;21.1
22/07/1939;17.8;24.4;21.1
23/07/1939;17.8;24.4;21.1
24/07/1939;18.3;25.6;21.95
25/07/1939;19.4;26.1;22.75
26/07/1939;17.8;25.6;21.7
27/07/1939;17.8;23.9;20.85
28/07/1939;17.2;25;21.1
29/07/1939;18.3;23.9;21.1
30/07/1939;18.3;24.4;21.35
31/07/1939;18.9;24.4;21.65
1/08/1939;18.3;23.9;21.1
2/08/1939;18.3;25.6;21.95
3/08/1939;19.4;27.8;23.6
4/08/1939;18.3;26.1;22.2
5/08/1939;18.9;25.6;22.25
6/08/1939;18.3;23.9;21.1
7/08/1939;17.8;23.9;20.85
8/08/1939;18.3;23.3;20.8
9/08/1939;18.3;23.3;20.8
10/08/1939;18.3;22.8;20.55
11/08/1939;17.8;23.9;20.85
12/08/1939;18.3;25;21.65
13/08/1939;17.8;22.8;20.3
14/08/1939;17.8;24.4;21.1
15/08/1939;17.8;23.9;20.85
16/08/1939;17.8;23.3;20.55
17/08/1939;17.8;26.1;21.95
18/08/1939;19.4;25;22.2
19/08/1939;18.3;25;21.65
20/08/1939;19.4;23.9;21.65
21/08/1939;18.3;23.9;21.1
22/08/1939;17.8;25;21.4
23/08/1939;18.9;25.6;22.25
24/08/1939;17.8;25;21.4
25/08/1939;18.9;28.9;23.9
26/08/1939;18.9;27.2;23.05
27/08/1939;18.3;26.1;22.2
28/08/1939;18.3;26.7;22.5
29/08/1939;18.9;26.1;22.5
30/08/1939;15.6;27.8;21.7
31/08/1939;15.6;27.8;21.7
1/09/1939;17.2;26.1;21.65
2/09/1939;16.7;23.9;20.3
3/09/1939;17.8;22.8;20.3
4/09/1939;17.8;23.9;20.85
5/09/1939;18.3;25.6;21.95
6/09/1939;17.8;22.2;20
7/09/1939;17.2;25;21.1
8/09/1939;18.3;26.1;22.2
9/09/1939;19.4;26.7;23.05
10/09/1939;20.6;25;22.8
11/09/1939;19.4;26.7;23.05
12/09/1939;16.7;22.2;19.45
13/09/1939;16.1;22.8;19.45
14/09/1939;12.8;22.8;17.8
15/09/1939;13.3;30;21.65
16/09/1939;16.1;31.1;23.6
17/09/1939;18.9;33.9;26.4
18/09/1939;21.1;35;28.05
19/09/1939;21.7;36.1;28.9
20/09/1939;23.3;37.8;30.55
21/09/1939;24.4;41.1;32.75
22/09/1939;22.8;38.9;30.85
23/09/1939;24.4;31.1;27.75
24/09/1939;21.7;29.4;25.55
25/09/1939;18.9;21.1;20
26/09/1939;17.8;23.3;20.55
27/09/1939;15.6;22.8;19.2
28/09/1939;16.7;22.2;19.45
29/09/1939;14.4;22.2;18.3
30/09/1939;15;22.2;18.6
1/10/1939;16.7;23.3;20
2/10/1939;18.3;21.1;19.7
