Power Building,day,Hour,month,minute
38.394,31,23,12,45
38.619,31,23,12,30
38.577,31,23,12,15
38.493,31,23,12,0
38.313,31,22,12,45
38.481,31,22,12,30
38.82,31,22,12,15
39.218,31,22,12,0
38.932,31,21,12,45
38.288,31,21,12,30
38.424,31,21,12,15
38.451,31,21,12,0
38.676,31,20,12,45
38.98,31,20,12,30
38.848,31,20,12,15
38.273,31,20,12,0
38.313,31,19,12,45
38.528,31,19,12,30
38.42,31,19,12,15
38.644,31,19,12,0
39.027,31,18,12,45
38.994,31,18,12,30
38.76,31,18,12,15
38.446,31,18,12,0
38.697,31,17,12,45
39.057,31,17,12,30
39.185,31,17,12,15
38.761,31,17,12,0
38.887,31,16,12,45
38.027,31,16,12,30
36.277,31,16,12,15
35.788,31,16,12,0
35.9,31,15,12,45
35.747,31,15,12,30
36.333,31,15,12,15
35.793,31,15,12,0
35.809,31,14,12,45
36.048,31,14,12,30
36.14,31,14,12,15
36.003,31,14,12,0
36.364,31,13,12,45
36.031,31,13,12,30
36.156,31,13,12,15
35.996,31,13,12,0
36.204,31,12,12,45
36.146,31,12,12,30
36.075,31,12,12,15
36.049,31,12,12,0
35.889,31,11,12,45
36.124,31,11,12,30
36.018,31,11,12,15
35.882,31,11,12,0
36.133,31,10,12,45
36.0,31,10,12,30
35.924,31,10,12,15
36.049,31,10,12,0
35.973,31,9,12,45
35.822,31,9,12,30
36.004,31,9,12,15
35.976,31,9,12,0
35.892,31,8,12,45
37.993,31,8,12,30
37.638,31,8,12,15
38.353,31,8,12,0
38.66,31,7,12,45
38.705,31,7,12,30
38.843,31,7,12,15
38.589,31,7,12,0
38.809,31,6,12,45
38.862,31,6,12,30
38.514,31,6,12,15
38.385,31,6,12,0
38.31,31,5,12,45
38.311,31,5,12,30
38.478,31,5,12,15
38.409,31,5,12,0
38.634,31,4,12,45
38.531,31,4,12,30
38.485,31,4,12,15
38.291,31,4,12,0
38.53,31,3,12,45
38.455,31,3,12,30
38.443,31,3,12,15
38.343,31,3,12,0
38.295,31,2,12,45
38.393,31,2,12,30
38.411,31,2,12,15
38.702,31,2,12,0
38.877,31,1,12,45
38.628,31,1,12,30
38.575,31,1,12,15
38.372,31,1,12,0
38.396,31,0,12,45
38.346,31,0,12,30
38.268,31,0,12,15
38.423,31,0,12,0
38.47,30,23,12,45
38.761,30,23,12,30
38.436,30,23,12,15
38.585,30,23,12,0
39.053,30,22,12,45
38.955,30,22,12,30
39.007,30,22,12,15
38.817,30,22,12,0
38.71,30,21,12,45
38.957,30,21,12,30
38.863,30,21,12,15
38.909,30,21,12,0
38.771,30,20,12,45
38.758,30,20,12,30
38.953,30,20,12,15
39.068,30,20,12,0
39.108,30,19,12,45
38.916,30,19,12,30
38.788,30,19,12,15
39.16,30,19,12,0
39.036,30,18,12,45
39.493,30,18,12,30
38.884,30,18,12,15
39.085,30,18,12,0
39.084,30,17,12,45
38.768,30,17,12,30
39.105,30,17,12,15
38.919,30,17,12,0
39.14,30,16,12,45
38.625,30,16,12,30
37.951,30,16,12,15
35.827,30,16,12,0
34.963,30,15,12,45
36.081,30,15,12,30
35.232,30,15,12,15
36.337,30,15,12,0
36.715,30,14,12,45
36.026,30,14,12,30
36.281,30,14,12,15
36.263,30,14,12,0
36.103,30,13,12,45
36.255,30,13,12,30
36.137,30,13,12,15
36.149,30,13,12,0
36.603,30,12,12,45
36.084,30,12,12,30
36.155,30,12,12,15
36.071,30,12,12,0
36.223,30,11,12,45
35.981,30,11,12,30
35.864,30,11,12,15
36.241,30,11,12,0
36.022,30,10,12,45
36.161,30,10,12,30
35.951,30,10,12,15
36.336,30,10,12,0
36.315,30,9,12,45
36.079,30,9,12,30
34.11,30,9,12,15
36.341,30,9,12,0
36.408,30,8,12,45
38.814,30,8,12,30
39.089,30,8,12,15
